subid,RT,BaselineOnset,Onset,NaviOnset,EndingOnset,Steps,Choice,Distance_OA,Distance_OB,Distance_OC,Distance_AB,Distance_BC,Distance_AC,cos_ABC,cos_AOB,cos_BOC
16,1.3218235,697.8344928,698.8539956,702.0794505,703.5794505,12,A,9.219544457,2.236067977,8.062257748,7.071067812,5.830951895,2,0.9701425,0.9701425,0.998460353
16,1.2250556,704.0792119,705.0869617,708.2244853,709.7244853,3,A,3.16227766,8.602325267,7.615773106,5.656854249,2,4.472135955,0.707106781,0.955779009,0.976900017
16,0.9534513,710.2242653,711.2302995,714.6521059,716.1521059,8,A,8.246211251,8.246211251,9.433981132,8.485281374,6.708203932,3,0.948683298,0.470588235,0.719844295
16,1.7415947,716.6522271,717.6659265,721.3298395,722.8298395,11,A,6.708203932,6.403124237,6,2.828427125,5.385164807,3,0.91914503,0.907959385,0.624695048
16,1.478202,723.3298433,724.3373078,727.774513,729.274513,5,A,4.242640687,6.403124237,7.211102551,2.236067977,1,3.16227766,-0.894427191,0.993883735,0.996240588
16,1.0634856,729.7742826,730.7842717,737.7835751,739.2835751,19,C,5.099019514,5.099019514,9.219544457,5.656854249,6.08276253,5.385164807,0.581238194,0.384615385,0.787055915
16,1.6671904,739.7836902,740.8045169,745.0438891,746.5438891,12,C,5.830951895,7.211102551,6.403124237,1.414213562,2.236067977,2.236067977,0.316227766,0.998868138,0.95292578
16,0.9346266,747.043831,748.0491377,749.8235106,751.3235106,3,A,2.236067977,2.236067977,2,1.414213562,2.236067977,1,0.948683298,0.8,0.447213595
16,0.8162244,751.8234124,752.831535,756.184721,757.684721,11,A,8.602325267,3.16227766,7.615773106,5.656854249,4.472135955,2,0.948683298,0.955779009,0.996545758
16,0.7819456,758.184328,759.193794,761.8300721,763.3300721,5,A,5.385164807,5,7.615773106,2.828427125,3,5.385164807,-0.707106781,0.854198556,0.971667603
16,0.8917881,763.8300592,764.8365008,768.0248836,769.5248836,7,A,6.403124237,6.403124237,7.211102551,1.414213562,2.236067977,1,0.948683298,0.975609756,0.95292578
16,1.6613364,770.0249588,771.0343337,775.0857134,776.5857134,8,A,5.830951895,6.403124237,7.211102551,2.236067977,1,3.16227766,-0.894427191,0.937425272,0.996240588
16,1.2425519,777.0857092,778.0935916,781.3979507,782.8979507,8,A,8.246211251,8.246211251,9.433981132,8.485281374,3,6.708203932,0.707106781,0.470588235,0.951222819
16,1.0734252,113.3058254,114.3534902,118.483306,119.983306,11,C,7.211102551,4.472135955,7.071067812,2.828427125,3.16227766,3.16227766,0.447213595,0.992277877,0.948683298
16,0.7346195,120.483499,121.492688,123.7122888,125.2122888,5,A,6.08276253,6.08276253,7.071067812,7.071067812,1,7.810249676,-0.707106781,0.324324324,0.999729693
16,1.1156905,125.7123047,126.7352245,129.7741018,131.2741018,7,A,6.403124237,6.403124237,7.211102551,1.414213562,1,2.236067977,-0.707106781,0.975609756,0.996240588
16,1.4375362,131.7740123,132.7817485,136.1853076,137.6853076,7,A,4.123105626,4.123105626,4,4.242640687,5,1,0.989949494,0.470588235,0.242535625
16,1.5293311,138.1855677,139.2101655,141.8806144,143.3806144,6,A,3.605551275,6.403124237,2,2.828427125,5.385164807,3,0.91914503,0.996240588,0.624695048
16,0.7712997,143.8808098,144.8879743,147.6427194,149.1427194,14,C,6.32455532,6.32455532,9.899494937,5.656854249,5.099019514,5.099019514,0.554700196,0.6,0.894427191
16,0.825423,149.6427144,150.6663634,152.7050264,154.2050264,5,A,6.08276253,6.08276253,7.071067812,7.071067812,1,7.810249676,-0.707106781,0.324324324,0.999729693
16,1.1011554,154.7051253,155.7258761,158.86647,160.36647,12,C,4.123105626,4.123105626,8.602325267,4.242640687,5,6.08276253,0.141421356,0.470588235,0.930408393
16,0.8382954,160.8669109,161.8776856,166.2770661,167.7770661,10,A,6.32455532,6.32455532,7.280109889,5.656854249,6.403124237,1,0.993883735,0.6,0.564683916
16,2.0307284,168.2770454,169.2844479,172.9715817,174.4715817,6,C,7.211102551,5.385164807,5.385164807,2.236067977,4.242640687,4.123105626,0.316227766,0.978549785,0.689655172
16,1.6205177,174.9719241,175.982942,180.1663843,181.6663843,10,A,7.280109889,6.08276253,8.246211251,1.414213562,2.236067977,1,0.948683298,0.993605255,0.996815279
16,1.0472157,182.1659907,183.187864,184.6953837,186.1953837,1,C,5.830951895,6.403124237,2.236067977,2.236067977,4.472135955,3.605551275,0.6,0.937425272,0.907959385
16,1.461794,186.6955118,187.7171364,190.9569204,192.4569204,6,A,4.472135955,4.472135955,6.708203932,2.828427125,4.123105626,2.236067977,0.857492926,0.8,0.8
16,1.3174549,192.957037,193.9654177,197.4856473,198.9856473,14,C,6.08276253,6.08276253,9.899494937,7.071067812,6.08276253,6.08276253,0.581238194,0.324324324,0.813733471
16,1.2624724,199.5015662,200.5085806,203.54655,205.04655,5,A,2.236067977,2.236067977,2,1.414213562,2.236067977,1,0.948683298,0.8,0.447213595
16,0.8490629,205.5471147,206.5702409,209.4417588,210.9417588,8,A,5.099019514,5.099019514,3.16227766,5.656854249,2,4.472135955,0.707106781,0.384615385,0.992277877
16,1.1694883,211.4422673,212.4656244,214.8207611,216.3207611,6,A,3.605551275,6.403124237,2,2.828427125,5.385164807,3,0.91914503,0.996240588,0.624695048
16,0.7250738,216.8207063,217.8300236,219.5166883,221.0166883,7,C,2,10,7.071067812,8.485281374,7.071067812,7.071067812,0.6,0.8,0.707106781
16,0.6602018,221.5171168,222.5271048,224.1302644,225.6302644,7,C,2.236067977,9.219544457,7.071067812,7.071067812,5,5,0.707106781,0.9701425,0.843661488
16,1.0963624,226.1300724,227.1546301,232.2229345,233.7229345,13,A,8.062257748,8.062257748,8.94427191,4.242640687,1,5,-0.707106781,0.861538462,0.998460353
16,0.9714759,234.223012,235.2313885,239.1008523,240.6008523,10,A,7.071067812,7.211102551,7.810249676,1.414213562,2.236067977,1,0.948683298,0.980580676,0.958798113
16,0.6058127,241.1007018,242.1101057,245.628574,247.128574,10,A,8.94427191,8.94427191,10,5.656854249,4.472135955,2,0.948683298,0.8,0.894427191
16,0.9353512,247.6291436,248.6517043,251.0408909,252.5408909,6,A,6.32455532,6.32455532,7.280109889,5.656854249,6.403124237,1,0.993883735,0.6,0.564683916
16,0.739691,253.040944,254.0631104,256.4032737,257.9032737,7,A,6.708203932,6.708203932,8.544003745,4.242640687,5.830951895,2,0.9701425,0.8,0.732793492
16,1.2285099,258.4034481,259.4233262,262.2822454,263.7822454,9,A,7.071067812,5,7.810249676,2.236067977,2.828427125,1,0.948683298,0.989949494,0.998687663
16,0.6727436,264.2818838,265.2912752,268.3928805,269.8928805,10,A,8.544003745,5,8.062257748,4.242640687,3.16227766,2,0.894427191,0.936329178,0.992277877
16,0.8633903,270.3932024,271.4037376,272.9061204,274.4061204,7,C,4.123105626,8.062257748,7.071067812,4.242640687,3,3,0.707106781,0.96265094,0.9296815
16,0.6951078,274.9064323,275.9159557,278.4517806,279.9517806,8,A,8.246211251,8.246211251,9.433981132,8.485281374,3,6.708203932,0.707106781,0.470588235,0.951222819
16,1.1095149,280.451888,281.4613841,284.8133984,286.3133984,10,A,5.830951895,5,4.472135955,2.236067977,1,3.16227766,-0.894427191,0.92609236,0.98386991
16,0.851158,286.8132534,287.824024,289.0762619,290.5762619,1,A,2,10,8.544003745,8.485281374,3,6.708203932,0.707106781,0.8,0.959737407
16,1.425822,291.0766458,292.0979039,295.0884108,296.5884108,6,C,2.236067977,2.236067977,2.828427125,1.414213562,1,1,0.707106781,0.8,0.948683298
16,1.2036972,297.0882239,298.0954772,301.2497056,302.7497056,7,A,4.123105626,4.123105626,4,4.242640687,5,1,0.989949494,0.470588235,0.242535625
16,0.9894797,303.25,304.2614724,307.1779938,308.6779938,9,A,7.211102551,5.385164807,8.94427191,2.236067977,3.605551275,2,0.868243142,0.978549785,0.996545758
16,0.689254,309.1782319,310.185599,311.6411466,313.1411466,4,A,4.123105626,8.062257748,2.828427125,4.242640687,5.385164807,2.236067977,0.91914503,0.96265094,0.964763821
16,0.8482892,313.6407836,314.6506961,318.6190675,320.1190675,12,A,7.615773106,7.615773106,8.602325267,5.656854249,4.472135955,2,0.948683298,0.724137931,0.854787515
16,1.5336763,320.61871,321.6294761,324.7470075,326.2470075,6,A,5.830951895,6.403124237,6.708203932,2.236067977,2.828427125,1,0.948683298,0.937425272,0.907959385
16,1.0136552,326.7472539,327.7664015,330.8424855,332.3424855,11,A,8.602325267,3.16227766,7.615773106,5.656854249,4.472135955,2,0.948683298,0.955779009,0.996545758
16,1.0032282,332.8421118,333.8638729,336.354073,337.854073,6,A,3.16227766,3.16227766,2.236067977,2.828427125,2.236067977,1,0.948683298,0.6,0.707106781
16,0.9330719,338.3540649,339.3738257,342.2824405,343.7824405,8,A,7.071067812,7.211102551,7.810249676,1.414213562,2.236067977,1,0.948683298,0.980580676,0.958798113
16,0.8253226,344.2827823,345.2906858,348.9438435,350.4438435,10,A,7.810249676,3.605551275,3,4.242640687,2,5.830951895,-0.707106781,0.994309154,0.832050294
16,0.6945148,350.9440159,351.9565273,353.7904236,355.2904236,4,C,9.433981132,9.433981132,4.242640687,4.242640687,5.385164807,5.385164807,0.393919299,0.898876404,0.974391196
16,0.7826503,355.7900035,356.8122584,360.0011522,361.5011522,9,A,6.08276253,6.08276253,4.123105626,7.071067812,5.830951895,2,0.9701425,0.324324324,0.398726111
16,0.8249255,362.0008945,363.0101068,367.3955141,368.8955141,15,A,8.485281374,2.828427125,2.236067977,5.656854249,1,6.403124237,-0.707106781,1,0.948683298
16,0.8633071,369.3948864,370.4036468,373.3066854,374.8066854,10,A,8.544003745,5,7,4.242640687,2,3.16227766,0.707106781,0.936329178,1
16,0.6233569,375.3071703,376.3164906,379.435923,380.935923,8,A,6.708203932,5.385164807,7.615773106,1.414213562,2.236067977,1,0.948683298,0.996545758,0.999702691
16,0.6730685,381.4356924,382.4581378,384.7143186,386.2143186,8,C,7.615773106,5.099019514,6.708203932,2.828427125,5.385164807,5,0.393919299,0.978549785,0.613940614
16,0.8751365,386.7146391,387.7356568,391.6753273,393.1753273,7,A,7.280109889,7.280109889,8.062257748,7.071067812,2,5.830951895,0.707106781,0.528301887,0.971136422
16,0.6672333,393.6754416,394.695699,397.0713142,398.5713142,10,A,7.211102551,7.211102551,5.385164807,2.828427125,2.236067977,4.123105626,-0.316227766,0.923076923,0.978549785
16,0.8955813,399.0711615,400.0924718,403.7320982,405.2320982,10,A,8.602325267,8.602325267,9.219544457,2.828427125,2.236067977,1,0.948683298,0.945945946,0.970879659
16,0.6878257,405.7323759,406.7553131,408.4277176,409.9277176,5,A,4.472135955,6.708203932,8.544003745,2.236067977,2,4.123105626,-0.894427191,1,0.994505453
16,0.7419661,410.4281962,411.4368433,414.3401259,415.8401259,8,A,6.403124237,5,7.211102551,1.414213562,2.236067977,1,0.948683298,0.999512076,0.998460353
16,0.6879034,416.3402984,417.3630793,418.6864316,420.1864316,5,A,5,5,4,7.071067812,1,6.403124237,0.707106781,-1.42E-16,1
16,0.6206272,420.686416,421.6944944,424.7152372,426.2152372,8,A,7.211102551,7.810249676,8.94427191,2.236067977,3.605551275,2,0.868243142,0.958798113,0.916157335
16,0.6632508,426.7146173,427.7236493,431.159413,432.659413,11,A,9.433981132,9.433981132,10.63014581,4.242640687,2,3.16227766,0.707106781,0.898876404,0.987190505
16,0.5352498,433.1593725,434.16376,438.3369843,439.8369843,13,A,8.062257748,8.062257748,6.32455532,4.242640687,2.236067977,5.385164807,-0.316227766,0.861538462,0.980580676
16,0.70514,440.3371561,441.3465244,442.9164879,444.4164879,6,A,2.236067977,9.219544457,1.414213562,7.071067812,7.810249676,1,0.995893206,0.9701425,0.997054486
16,0.7365938,444.9167497,445.9384874,448.9786091,450.4786091,10,A,8.94427191,8.94427191,10,5.656854249,2,4.472135955,0.707106781,0.8,0.98386991
16,0.6400828,450.9783231,451.9878999,455.7563325,457.2563325,13,A,9.219544457,9.219544457,10,1.414213562,1,2.236067977,-0.707106781,0.988235294,0.997880106
16,0.734318,457.7558625,458.7647632,462.2837174,463.7837174,10,C,3.605551275,7.810249676,7.280109889,4.242640687,4.472135955,5.099019514,0.316227766,0.994309154,0.826599248
16,0.6633511,464.2840815,465.291608,467.6798305,469.1798305,7,A,4.242640687,6.403124237,7.211102551,2.236067977,1,3.16227766,-0.894427191,0.993883735,0.996240588
16,0.8102154,469.6796737,470.688465,473.2087774,474.7087774,8,A,5,6.403124237,4.472135955,1.414213562,2.236067977,1,0.948683298,0.999512076,0.977802414
